name,type_of_food,address,city,outcode,postcode,URL,rating
23rd Street Pizza,American,317 Wilmslow Road,Fallowfield,M14,6NW,http://www.just-eat.co.uk/restaurants-23rdstreetpizza-m14/menu,5
23rd Street Pizza,American,317 Wilmslow Road,Fallowfield,M14,6NW,http://www.just-eat.co.uk/restaurants-23rdstreetpizza-m14/menu,5
3 Chefs,American,558 Burton Road,Littleover,DE23,6FP,http://www.just-eat.co.uk/restaurants-3chefs-de23/menu,4
5 Star Fish Bar,American,103 Stafford Street,Walsall,WS2,8DX,http://www.just-eat.co.uk/restaurants-5-star-fish-bar/menu,5
Abbey's Pizza,American,94 Corporation Road,Middlesbrough,TS1,2RB,http://www.just-eat.co.uk/restaurants-abbeys-pizza/menu,5
Abz BBQ Kitchen,American,14 Bachelor Street,Chatham,ME4,4BJ,http://www.just-eat.co.uk/restaurants-abzbbqkitchen-me4/menu,5
Adams Diner,American,Glasgow Road,Dumbarton,G81,1LW,http://www.just-eat.co.uk/restaurants-adams-diner-duntocher-g81/menu,4
Adams Place,American,546-548 Bristol Road South,Birmingham,B29,6BD,http://www.just-eat.co.uk/restaurants-adams-place/menu,4
Al Pizza,American,18 Brus Corner,Cleveland,TS24,9LA,http://www.just-eat.co.uk/restaurants-alpizza-ts24/menu,4
Al's Fried Chicken,American,21a St. Petersgate,Stockport,SK1,1EB,http://www.just-eat.co.uk/restaurants-als-fried-chicken/menu,5
Alaska Fried Chicken,American,18 Church Road,Gatley,SK8,4NQ,http://www.just-eat.co.uk/restaurants-alaska-sk8/menu,5
Alaska Fried Chicken,American,18 Church Road,Gatley,SK8,4NQ,http://www.just-eat.co.uk/restaurants-alaska-sk8/menu,5
Alborz,American,71 Ormskirk Road,Wigan,WN5,9EA,http://www.just-eat.co.uk/restaurants-alborz/menu,5
Ali Baba,American,31 North Road,Lancaster,LA1,1NS,http://www.just-eat.co.uk/restaurants-alibaba-la1/menu,4
Allens Fried Chicken,American,Chorley Old Road,Bolton,BL1,4JU,http://www.just-eat.co.uk/restaurants-allensfriedchicken-BL1/menu,4
Allens Fried Chicken,American,Chorley Old Road,Bolton,BL1,4JU,http://www.just-eat.co.uk/restaurants-allensfriedchicken-BL1/menu,4
